transcript_id,transcript_position,read_index,probability_modified
NC_000008.11:127794524-128101256,2375,59.0,0.0000130439348140
NC_000008.11:127794524-128101256,2375,169.0,0.0033856891095638
NC_000008.11:127794524-128101256,2375,60.0,0.0084839873015881
NC_000008.11:127794524-128101256,2375,70.0,0.0000388588559872
NC_000008.11:127794524-128101256,2375,74.0,0.0010908959666267
NC_000008.11:127794524-128101256,2375,77.0,0.0101407216861844
NC_000008.11:127794524-128101256,2375,170.0,0.0016472254646942
NC_000008.11:127794524-128101256,2375,73.0,0.0040280697867274
NC_000008.11:127794524-128101256,2375,145.0,0.0011299126781523
NC_000008.11:127794524-128101256,2375,86.0,0.0004463506920729
NC_000008.11:127794524-128101256,2375,75.0,0.0000001125662905
NC_000008.11:127794524-128101256,2375,67.0,0.0000408671694458
NC_000008.11:127794524-128101256,2375,172.0,0.0004880317719653
NC_000008.11:127794524-128101256,2375,146.0,0.0000066740030888
NC_000008.11:127794524-128101256,2375,156.0,0.0010747915366665
NC_000008.11:127794524-128101256,2375,76.0,0.0000000096752997
NC_000008.11:127794524-128101256,2375,90.0,0.0000065262438511
NC_000008.11:127794524-128101256,2375,69.0,0.0001440389751224
NC_000008.11:127794524-128101256,2375,155.0,0.0000044063458517
NC_000008.11:127794524-128101256,2375,104.0,0.0000022551266738
NC_000008.11:127794524-128101256,2375,147.0,0.0720552727580070
NC_000008.11:127794524-128101256,2375,114.0,0.0005706634256057
NC_000008.11:127794524-128101256,2375,113.0,0.0032921000383794
NC_000008.11:127794524-128101256,2375,144.0,0.0000042902083806
NC_000008.11:127794524-128101256,2375,102.0,0.0000009705196362
NC_000008.11:127794524-128101256,2375,124.0,0.0002248322853120
NC_000008.11:127794524-128101256,2375,123.0,0.0015728448051959
NC_000008.11:127794524-128101256,2375,83.0,0.0003413993399590
NC_000008.11:127794524-128101256,2375,184.0,0.0000030950209293
NC_000008.11:127794524-128101256,2375,131.0,0.0004840732726734
NC_000008.11:127794524-128101256,2375,87.0,0.0000073611972766
NC_000008.11:127794524-128101256,2375,47.0,0.0000010565759112
NC_000008.11:127794524-128101256,2375,125.0,0.0023808358237147
NC_000008.11:127794524-128101256,2375,39.0,0.0003476598649286
NC_000008.11:127794524-128101256,2375,12.0,0.0008488831808791
NC_000008.11:127794524-128101256,2375,43.0,0.0001086658012355
NC_000008.11:127794524-128101256,2375,20.0,0.0000005892157446
NC_000008.11:127794524-128101256,2375,28.0,0.0087212026119232
NC_000008.11:127794524-128101256,2375,6.0,0.0007575795170851
NC_000008.11:127794524-128101256,2375,58.0,0.0000002166108288
NC_000008.11:127794524-128101256,2375,10.0,0.0000140080655910
NC_000008.11:127794524-128101256,2375,68.0,0.0175019633024931
NC_000008.11:127794524-128101256,2375,185.0,0.0009152871207334
NC_000008.11:127794524-128101256,2375,190.0,0.0000371407768398
NC_000008.11:127794524-128101256,2576,232.0,0.0004057402838953
NC_000008.11:127794524-128101256,2576,132.0,0.0000019995750336
NC_000008.11:127794524-128101256,2576,229.0,0.0004977903445251
NC_000008.11:127794524-128101256,2576,234.0,0.0000000715184711
NC_000008.11:127794524-128101256,2576,144.0,0.0018455066019669
NC_000008.11:127794524-128101256,2576,233.0,0.0022521000355482
NC_000008.11:127794524-128101256,2576,125.0,0.0002702592755668
NC_000008.11:127794524-128101256,2576,227.0,0.0857574343681335
NC_000008.11:127794524-128101256,2576,226.0,0.0000000000000000
NC_000008.11:127794524-128101256,2576,155.0,0.0000025759356959
NC_000008.11:127794524-128101256,2576,231.0,0.0027626373339444
NC_000008.11:127794524-128101256,2576,156.0,0.0177613794803619
NC_000008.11:127794524-128101256,2576,222.0,0.0838017612695694
NC_000008.11:127794524-128101256,2576,204.0,0.0005110549391247
NC_000008.11:127794524-128101256,2576,203.0,0.0010938388295472
NC_000008.11:127794524-128101256,2576,197.0,0.0000185641365533
NC_000008.11:127794524-128101256,2576,192.0,0.0450754985213280
NC_000008.11:127794524-128101256,2576,193.0,0.0053742602467537
NC_000008.11:127794524-128101256,2576,145.0,0.0000520398825756
NC_000008.11:127794524-128101256,2576,186.0,0.0001680064015090
NC_000008.11:127794524-128101256,2576,170.0,0.0005200835876167
NC_000008.11:127794524-128101256,2576,190.0,0.0050577828660607
NC_000008.11:127794524-128101256,2576,169.0,0.3063699007034302
NC_000008.11:127794524-128101256,2576,185.0,0.0008530493360013
NC_000008.11:127794524-128101256,2576,171.0,0.0762109756469727
NC_000008.11:127794524-128101256,2576,154.0,0.0039113573729992
NC_000008.11:127794524-128101256,2576,143.0,0.0203839968889952
NC_000008.11:127794524-128101256,2576,184.0,0.3262697458267212
NC_000008.11:127794524-128101256,2576,198.0,0.2298501729965210
NC_000008.11:127794524-128101256,2576,123.0,0.3409804701805115
NC_000008.11:127794524-128101256,2576,51.0,0.0000010572703104
NC_000008.11:127794524-128101256,2576,87.0,0.0021234226878732
NC_000008.11:127794524-128101256,2576,61.0,0.0018284467514604
NC_000008.11:127794524-128101256,2576,58.0,0.0283838398754597
NC_000008.11:127794524-128101256,2576,49.0,0.0006591854034923
NC_000008.11:127794524-128101256,2576,20.0,0.0001448238472221
NC_000008.11:127794524-128101256,2576,43.0,0.1924271881580353
NC_000008.11:127794524-128101256,2576,8.0,0.0000001352956218
NC_000008.11:127794524-128101256,2576,39.0,0.0035123142879456
NC_000008.11:127794524-128101256,2576,76.0,0.0947206839919090
NC_000008.11:127794524-128101256,2576,42.0,0.0154454354196787
NC_000008.11:127794524-128101256,2576,131.0,0.0079769501462579
NC_000008.11:127794524-128101256,2576,6.0,0.0024539371952415
NC_000008.11:127794524-128101256,2576,47.0,0.0366546437144279
NC_000008.11:127794524-128101256,2576,12.0,0.0012954762205482
NC_000008.11:127794524-128101256,2576,41.0,0.0000503628725710
NC_000008.11:127794524-128101256,2576,27.0,0.0004274109378457
NC_000008.11:127794524-128101256,2576,11.0,0.0000002337961433
NC_000008.11:127794524-128101256,2576,10.0,0.0009301631362177
NC_000008.11:127794524-128101256,2576,40.0,0.0023285443894565
NC_000008.11:127794524-128101256,2576,48.0,0.0003732584300451
NC_000008.11:127794524-128101256,2576,89.0,0.0008519450202584
NC_000008.11:127794524-128101256,2576,4.0,0.0081661371514201
NC_000008.11:127794524-128101256,2576,75.0,0.0057654078118503
NC_000008.11:127794524-128101256,2576,102.0,0.0000050938797358
NC_000008.11:127794524-128101256,2576,113.0,0.0094858342781663
